Company,Rating,Review
Rakuten,3.6,2
JBM Group,3.5,379
Northern Trust,3.9,4
Coding Ninjas,4.3,378
Red Bull,4.3,2
Zones,2.9,987
EY-Parthenon,4.1,897
Natwest,3.8,800
foodpanda,3.9,1
ANR Software,3.3,226
Apollo Hospitals,4.1,697
Q3 Technologies,4.0,311
Daikin,3.6,690
Shadowfax Technologies,4.5,1
BOLD,4.1,326
Express Employment Professionals,3.9,2
Best Buy,3.7,32
Indian Railways,4.0,720
Barco,3.9,371
Aricent Technologies,3.8,433
Wipro,3.8,971
IGT,3.7,1
Think Future Technologies,4.3,207
Petrofac,3.7,1
Cinépolis,3.8,1
Camp K-12,3.4,338
STL - Sterlite Technologies Limited,3.8,668
VE Commercial Vehicles,3.6,508
AIESEC,4.6,2
Tower Research Capital LLC,3.9,210
Jabong.com,3.7,241
LiquidHub,2.8,431
Altran Technologies,3.2,630
Self Employed Womens Association,4.3,927
D. E. Shaw India,4.2,569
Yahoo,4.0,5
Groupon,3.7,3
Asahi India Glass,3.6,346
BBC,3.8,2
Symphony Teleca,3.8,1
Motorola Mobility,4.1,2
Accenture Solutions,4.2,807
Affiliated Computer Services,3.8,1
Teradata,4.1,2
Velocis Systems,4.0,333
Flex,3.9,5
Raja Software Labs,4.0,516
Huron Consulting Group,4.1,1
KiwiTech,4.1,274
AuthBridge Research Services,3.6,236
AVL,3.9,571
Santander,3.8,14
FabHotels,4.3,365
Sovereign Health Group,3.0,386
Mobikwik,3.6,239
Quovantis Technologies,4.1,146
AMD,4.2,3
Hike,4.2,278
KocharTech,4.4,755
Centre for Development of Advanced Computing,3.6,507
Successive Technologies,4.4,299
SelfMade,4.5,552
Allianz,4.0,5
BYJU’S Exam Prep,4.1,341
Novo Nordisk,4.2,2
Aspiring Minds,3.7,242
HashedIn by Deloitte,4.3,521
Appster,3.7,245
Moglix,3.9,313
Monster Worldwide,3.9,1
Colgate-Palmolive,4.2,2
Analog Devices,4.1,1
Quest Diagnostics,3.5,4
Hotstar,3.3,281
1mg,3.9,237
Indian Navy,4.6,405
Mobile Programming,3.8,352
National Informatics Centre,4.0,470
ninjacart,3.4,856
Crossover for Work,3.3,1
Agoda,4.3,1
Jabil,3.8,2
Ashok Leyland,4.0,1
Motherson Sumi Systems,3.4,313
Aston Carter,4.4,772
Carrefour,3.7,8
C-DAC,3.8,580
Applied Materials,4.0,3
Goibibo,4.2,228
Taj Group of Hotels,4.3,612
Damco Solutions,3.7,247
Trident Group,3.7,774
Danone,4.0,4
NHS,3.8,8
Sky,3.9,4
Halliburton,3.6,5
Valeo,3.8,3
Schindler,3.7,1
TATA ELXSI,3.9,2
Motorola Solutions,4.0,3
Allscripts,3.9,2
Comcast,3.9,14
ITC Hotels,4.2,450
Hella,3.8,851
Polestar Solutions & Services India,4.3,177
Adda 247,3.9,219
Starwood Hotels & Resorts,3.8,2
BMC Software,4.1,2
Louis Dreyfus Company,3.9,1
Penguin Random House ,3.9,985
Smart Energy Water,3.7,270
Angel One,4.2,702
Frost & Sullivan,3.6,1
Nomura Holdings,4.0,2
Directi,4.1,501
Bank of Baroda,3.6,684
Citicapital Commercial Corp,4.0,1
Akamai,4.6,2
Bsnl,3.8,922
Wood,3.7,1
Frankfinn Aviation Services,4.5,299
TBWA Worldwide,3.9,993
GoMechanic,3.9,291
noon,3.9,429
The Jaypee Group,3.9,365
Amdocs Development Centre India,4.0,506
PPD,4.0,3
Tata Projects Limited,4.0,541
Tata AIG General Insurance,3.7,574
Whole Foods Market,3.5,15
Acadecraft,3.6,295
XYZ,3.7,639
FarEye,3.8,214
JindalX,4.3,408
KEC International Ltd.,3.8,471
Tommy Hilfiger,3.8,2
TTEC,3.5,7
Honda Motorcycle & Scooter India,3.9,337
GeeksForGeeks,4.4,336
University of Delhi,4.1,263
Pentair,3.8,890
Globeop Financial Services,3.2,785
Red Hat,4.4,3
Forrester,4.1,1
SSP Limited,3.5,219
AKQA,3.9,950
J. Walter Thompson Worldwide,3.8,896
Mindshare,3.8,1
Intersoft Data Labs,4.0,243
Svam International,4.0,177
CMS IT services,2.9,660
Regus,2.9,2
Vaco Binary Semantics,3.7,275
Aspire Systems,3.9,984
"Enterprise Solutions, Inc",4.3,130
Junglee Games,4.3,205
(no)name,3.9,595
Quatrro,3.8,336
KONE,4.1,1
Sears,3.4,14
MRM,3.9,1
NEC Corporation,3.6,1
PureSoftware,3.9,275
Diageo,4.1,2
Giesecke & Devrient,3.7,519
GMR Group,3.9,365
Sam's Club,3.3,9
FIITJEE,3.1,346
XYZ,3.9,331
magicpin,3.6,271
Life Insurance Corporation of India,4.4,606
Nissan,3.8,2
Wingify,3.9,164
TresVista,3.4,444
GirnarSoft,3.9,334
Tata Power,3.8,582
Housing.com,4.3,433
Outlook Publishing,3.6,454
The Judge Group,3.9,685
Kmart,3.5,6
Dr. Reddy's,3.8,1
TrueBlue,3.9,461
US Army,3.8,37
